DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/14/2016,9:50,STATEN ISLAND,10312,40.5517701,-74.1753347,"(40.5517701, -74.1753347)",ANNADALE ROAD                   ,GENESEE AVENUE                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442928,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,9:46,BRONX,10459,40.8239765,-73.8876773,"(40.8239765, -73.8876773)",                                ,                                ,1021 LONGFELLOW AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441510,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,9:45,QUEENS,11101,40.7407867,-73.934344,"(40.7407867, -73.934344)",                                ,                                ,48-05 VANDAM STREET                     ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3441795,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,9:40,,,,,,                                ,WEST 102 STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443081,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,9:35,,,40.7433963,-73.8375431,"(40.7433963, -73.8375431)",                                ,                                ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3443535,VAN,VAN,PASSENGER VEHICLE,,
05/14/2016,9:20,MANHATTAN,10039,40.8209511,-73.9374227,"(40.8209511, -73.9374227)",                                ,                                ,141 WEST 145 STREET                     ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3442115,PASSENGER VEHICLE,BICYCLE,,,
05/14/2016,9:20,MANHATTAN,10013,40.7164594,-74.0023267,"(40.7164594, -74.0023267)",                                ,                                ,60 LAFAYETTE STREET                     ,1,0,0,0,0,0,1,0,Unspecified,,,,,3443697,PASSENGER VEHICLE,,,,
05/14/2016,9:20,,,,,,                                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442743,PASSENGER VEHICLE,,,,
05/14/2016,9:20,QUEENS,11101,40.7450679,-73.9382591,"(40.7450679, -73.9382591)",29 STREET                       ,SKILLMAN AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441794,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,9:20,MANHATTAN,10012,40.729659,-74.0007866,"(40.729659, -74.0007866)",                                ,                                ,105 MAC DOUGAL STREET                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441433,SMALL COM VEH(4 TIRES) ,SMALL COM VEH(4 TIRES) ,,,
