Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2017,36713,23343,60056,9804,3777,13581,12971,17834,23343,41177,2527,5298
01/03/2017,36710,23312,60022,9825,3769,13594,12956,17816,23312,41128,2528,5300
01/04/2017,36733,23308,60041,9850,3787,13637,12951,17804,23308,41112,2523,5292
01/05/2017,36785,23365,60150,9873,3785,13658,12992,17847,23365,41212,2516,5280
01/06/2017,36705,23386,60091,9807,3767,13574,12990,17837,23386,41223,2523,5294
01/07/2017,36764,23451,60215,9810,3783,13593,13013,17870,23451,41321,2526,5301
01/08/2017,36811,23438,60249,9855,3780,13635,13017,17879,23438,41317,2524,5297
01/09/2017,36889,23484,60373,9868,3805,13673,13040,17910,23484,41394,2529,5306
01/10/2017,36821,23416,60237,9859,3813,13672,12998,17848,23416,41264,2526,5301
01/11/2017,36805,23443,60248,9818,3796,13614,13017,17881,23443,41324,2531,5310
01/12/2017,36773,23471,60244,9790,3782,13572,13021,17883,23471,41354,2535,5318
01/13/2017,36760,23499,60259,9797,3774,13571,13033,17901,23499,41400,2521,5288
01/14/2017,36734,23464,60198,9792,3773,13565,13017,17884,23464,41348,2519,5285
01/15/2017,36746,23442,60188,9817,3786,13603,13010,17857,23442,41299,2520,5286
01/16/2017,36684,23431,60115,9860,3685,13545,13008,17852,23431,41283,2520,5287
01/17/2017,36843,23463,60306,9856,3804,13660,13024,17886,23463,41349,2526,5297
01/19/2017,36820,23455,60275,9876,3793,13669,13000,17853,23455,41308,2527,5298
01/20/2017,36783,23457,60240,9875,3767,13642,13016,17873,23457,41330,2511,5268
01/21/2017,36814,23412,60226,9907,3778,13685,13000,17848,23412,41260,2516,5281
01/26/2017,36949,23475,60424,9969,3795,13764,13056,17927,23475,41402,2506,5258
01/27/2017,36862,23472,60334,9919,3800,13719,13037,17895,23472,41367,2501,5248
01/28/2017,36814,23432,60246,9885,3810,13695,13013,17866,23432,41298,2502,5253
01/29/2017,36894,23415,60309,9918,3824,13742,13013,17874,23415,41289,2514,5278
01/30/2017,36964,23439,60403,9942,3833,13775,13033,17898,23439,41337,2520,5291
01/31/2017,36897,23424,60321,9913,3827,13740,13021,17887,23424,41311,2509,5270
02/01/2017,36829,23354,60183,9918,3794,13712,12997,17851,23354,41205,2509,5266
02/02/2017,36794,23315,60109,9915,3791,13706,12981,17820,23315,41135,2511,5268
02/03/2017,36755,23318,60073,9886,3797,13683,12980,17831,23318,41149,2497,5241
02/04/2017,36760,23352,60112,9895,3784,13679,12985,17846,23352,41198,2494,5235
02/05/2017,36842,23387,60229,9937,3801,13738,13001,17868,23387,41255,2494,5236
02/06/2017,36931,23399,60330,9966,3833,13799,13000,17880,23399,41279,2499,5252
02/07/2017,36853,23326,60179,9936,3847,13783,12959,17828,23326,41154,2495,5242
02/08/2017,36865,23333,60198,9944,3845,13789,12953,17817,23333,41150,2502,5259
02/09/2017,36959,23352,60311,9978,3849,13827,12978,17849,23352,41201,2514,5283
02/10/2017,36875,23323,60198,9955,3824,13779,12955,17822,23323,41145,2510,5274
02/11/2017,36788,23288,60076,9918,3835,13753,12934,17784,23288,41072,2498,5251
02/12/2017,36844,23267,60111,9972,3858,13830,12915,17753,23267,41020,2503,5261
02/13/2017,36790,23307,60097,9979,3754,13733,12939,17785,23307,41092,2508,5272
02/14/2017,36875,23280,60155,10003,3853,13856,12922,17761,23280,41041,2502,5258
02/15/2017,36859,23267,60126,10016,3845,13861,12909,17730,23267,40997,2507,5268
02/16/2017,36841,23264,60105,10024,3830,13854,12918,17735,23264,40999,2500,5252
02/17/2017,36794,23239,60033,9999,3821,13820,12918,17731,23239,40970,2496,5243
02/18/2017,36734,23242,59976,9949,3826,13775,12918,17730,23242,40972,2489,5229
02/19/2017,36756,23210,59966,9996,3820,13816,12908,17723,23210,40933,2483,5217
02/20/2017,36830,23218,60048,10012,3833,13845,12913,17731,23218,40949,2500,5254
02/21/2017,36843,23218,60061,10038,3820,13858,12897,17724,23218,40942,2503,5261
